policy,token,processed_candidates,chosen_tile_id,chosen_error_m,hit_le_threshold,chosen_union_rank,chosen_lightglue_rank,chosen_hybrid_rank,chosen_lg_score,chosen_hybrid_score,chosen_inliers,chosen_matches,chosen_min_coverage,union_top1_error_m,union_top1_hit_le_threshold,oracle_processed_error_m,oracle_processed_hit_le_threshold,oracle_lightglue_rank,oracle_hybrid_rank,oracle_union_rank,oracle_tile_id,s5c2_chunk
union_rank_only,1,50,3545,15.072437260721763,True,1.0,2.0,2.0,84.89274826789838,96.89274826789838,62.0,433.0,0.5,15.072437260721763,True,15.072437260721763,True,2.0,2.0,1.0,3545,chunk00
union_rank_only,100,50,541,45.58389044898862,False,1.0,1.0,1.0,113.76735294117648,125.76735294117648,86.0,544.0,0.5625,45.58389044898862,False,45.58389044898862,False,1.0,1.0,1.0,541,chunk00
union_rank_only,101,50,116,2674.082255606318,False,1.0,13.0,3.0,11.514117647058823,23.514117647058825,5.0,68.0,0.25,2674.082255606318,False,26.85274048842789,True,1.0,1.0,42.0,540,chunk00
union_rank_only,106,50,5195,1727.8515078805622,False,1.0,25.0,1.0,10.334285714285716,22.334285714285716,5.0,28.0,0.25,1727.8515078805622,False,555.4781891432476,False,3.0,25.0,36.0,1053,chunk00
union_rank_only,107,50,5195,1735.5748080846208,False,1.0,46.0,1.0,9.991666666666667,21.991666666666667,5.0,30.0,0.1875,1735.5748080846208,False,566.9059263060645,False,18.0,25.0,26.0,1053,chunk00
union_rank_only,11,50,5187,786.0766109262555,False,1.0,15.0,5.0,11.65095238095238,23.650952380952383,6.0,63.0,0.125,786.0766109262555,False,32.90649485062182,True,2.0,2.0,30.0,3420,chunk00
union_rank_only,111,50,3005,1299.139834528015,False,1.0,16.0,2.0,11.130877192982457,23.130877192982457,5.0,57.0,0.25,1299.139834528015,False,37.855949002529584,True,1.0,1.0,50.0,537,chunk00
union_rank_only,116,50,2754,1240.91268110364,False,1.0,44.0,1.0,10.657692307692308,22.657692307692308,5.0,65.0,0.125,1240.91268110364,False,194.04822427527995,False,8.0,42.0,46.0,654,chunk00
union_rank_only,117,50,4913,1247.0120373767772,False,1.0,19.0,1.0,11.068030303030303,23.068030303030305,5.0,66.0,0.1875,1247.0120373767772,False,160.9416935033749,False,41.0,45.0,38.0,906,chunk00
union_rank_only,121,50,5038,1287.6875838131468,False,1.0,31.0,1.0,11.068030303030303,23.068030303030305,5.0,66.0,0.1875,1287.6875838131468,False,126.62975907796915,False,50.0,50.0,43.0,780,chunk00
