token,variant,status,satellite_candidates,runtime_s,uav_image_path,uav_lon,uav_lat,top1_tile_id,top1_error_m,top1_hit_le_threshold,oracle_topk_error_m,oracle_topk_hit_le_threshold,first_correct_rank,best_correct_error_m
1,v3_green_suppressed,ok,8625,0.3516221046447754,data/raw/satloc/part_1/UAV Data/traj01/1@0@112.816130@28.297316.png,112.81613,28.297316,03545,15.072437260721763,True,15.072437260721763,True,1,15.072437260721763
1,v5_edge_magnitude,ok,8625,0.11667132377624512,data/raw/satloc/part_1/UAV Data/traj01/1@0@112.816130@28.297316.png,112.81613,28.297316,03545,15.072437260721763,True,15.072437260721763,True,1,15.072437260721763
1,v8_lab_logchroma_fused,ok,8625,0.14570999145507812,data/raw/satloc/part_1/UAV Data/traj01/1@0@112.816130@28.297316.png,112.81613,28.297316,03545,15.072437260721763,True,15.072437260721763,True,1,15.072437260721763
1,v9_canny_structure,ok,8625,0.10798406600952148,data/raw/satloc/part_1/UAV Data/traj01/1@0@112.816130@28.297316.png,112.81613,28.297316,00024,1215.5846800731242,False,15.072437260721763,True,10,15.072437260721763
6,v3_green_suppressed,ok,8625,0.1260361671447754,data/raw/satloc/part_1/UAV Data/traj01/6@5004@112.816123@28.297415.png,112.816123,28.297415,03545,25.173257925336667,True,12.262600285628166,True,1,12.262600285628166
6,v5_edge_magnitude,ok,8625,0.10434699058532715,data/raw/satloc/part_1/UAV Data/traj01/6@5004@112.816123@28.297415.png,112.816123,28.297415,03545,25.173257925336667,True,25.173257925336667,True,1,12.262600285628166
6,v8_lab_logchroma_fused,ok,8625,0.11355805397033691,data/raw/satloc/part_1/UAV Data/traj01/6@5004@112.816123@28.297415.png,112.816123,28.297415,03545,25.173257925336667,True,25.173257925336667,True,1,12.262600285628166
6,v9_canny_structure,ok,8625,0.10107016563415527,data/raw/satloc/part_1/UAV Data/traj01/6@5004@112.816123@28.297415.png,112.816123,28.297415,00779,933.974382494438,False,25.173257925336667,True,12,12.262600285628166
11,v3_green_suppressed,ok,8625,0.12743401527404785,data/raw/satloc/part_1/UAV Data/traj01/11@10009@112.816112@28.297802.png,112.816112,28.297802,05187,786.0766109262555,False,32.90649485062182,True,25,5.73108410987509
11,v5_edge_magnitude,ok,8625,0.16526317596435547,data/raw/satloc/part_1/UAV Data/traj01/11@10009@112.816112@28.297802.png,112.816112,28.297802,04507,1376.2452089584413,False,78.4398031686764,False,78,5.73108410987509
11,v8_lab_logchroma_fused,ok,8625,0.13472795486450195,data/raw/satloc/part_1/UAV Data/traj01/11@10009@112.816112@28.297802.png,112.816112,28.297802,05187,786.0766109262555,False,32.90649485062182,True,13,5.73108410987509
11,v9_canny_structure,ok,8625,0.10331106185913086,data/raw/satloc/part_1/UAV Data/traj01/11@10009@112.816112@28.297802.png,112.816112,28.297802,00779,899.4034582351185,False,100.85553614117926,False,62,5.73108410987509
16,v3_green_suppressed,ok,8625,0.10650515556335449,data/raw/satloc/part_1/UAV Data/traj01/16@15014@112.816116@28.298266.png,112.816116,28.298266,05062,796.9439481997352,False,112.94767658882404,False,701,15.30738192676323
16,v5_edge_magnitude,ok,8625,0.10439205169677734,data/raw/satloc/part_1/UAV Data/traj01/16@15014@112.816116@28.298266.png,112.816116,28.298266,05962,1657.0987333780097,False,140.88616473216425,False,570,15.30738192676323
16,v8_lab_logchroma_fused,ok,8625,0.11783385276794434,data/raw/satloc/part_1/UAV Data/traj01/16@15014@112.816116@28.298266.png,112.816116,28.298266,04786,566.9809404968285,False,112.94767658882404,False,410,15.30738192676323
16,v9_canny_structure,ok,8625,0.12911105155944824,data/raw/satloc/part_1/UAV Data/traj01/16@15014@112.816116@28.298266.png,112.816116,28.298266,00779,860.0670907998533,False,189.3758043673776,False,288,15.30738192676323
21,v3_green_suppressed,ok,8625,0.10841703414916992,data/raw/satloc/part_1/UAV Data/traj01/21@20018@112.816154@28.298764.png,112.816154,28.298764,05187,857.9458375932353,False,191.49474629961097,False,1289,9.307541358150512
21,v5_edge_magnitude,ok,8625,0.10553503036499023,data/raw/satloc/part_1/UAV Data/traj01/21@20018@112.816154@28.298764.png,112.816154,28.298764,01834,1388.2935039381573,False,191.49474629961097,False,1517,9.307541358150512
21,v8_lab_logchroma_fused,ok,8625,0.1608572006225586,data/raw/satloc/part_1/UAV Data/traj01/21@20018@112.816154@28.298764.png,112.816154,28.298764,03794,248.18868936607458,False,191.49474629961097,False,401,9.307541358150512
21,v9_canny_structure,ok,8625,0.20479679107666016,data/raw/satloc/part_1/UAV Data/traj01/21@20018@112.816154@28.298764.png,112.816154,28.298764,00654,847.2201322914553,False,191.49474629961097,False,933,9.307541358150512
26,v3_green_suppressed,ok,8625,0.14951515197753906,data/raw/satloc/part_1/UAV Data/traj01/26@25023@112.816233@28.299291.png,112.816233,28.299291,02925,167.98952555187336,False,57.766020465971025,False,75,20.526886969408306
26,v5_edge_magnitude,ok,8625,0.12610292434692383,data/raw/satloc/part_1/UAV Data/traj01/26@25023@112.816233@28.299291.png,112.816233,28.299291,05243,2623.0686236314627,False,69.63083649342863,False,51,20.526886969408306
26,v8_lab_logchroma_fused,ok,8625,0.3142571449279785,data/raw/satloc/part_1/UAV Data/traj01/26@25023@112.816233@28.299291.png,112.816233,28.299291,02798,90.78011993050184,False,20.526886969408306,True,3,20.526886969408306
26,v9_canny_structure,ok,8625,0.17365002632141113,data/raw/satloc/part_1/UAV Data/traj01/26@25023@112.816233@28.299291.png,112.816233,28.299291,01639,1137.074885383116,False,21.222233130034205,True,31,20.526886969408306
31,v3_green_suppressed,ok,8625,0.1253960132598877,data/raw/satloc/part_1/UAV Data/traj01/31@30028@112.816340@28.299790.png,112.81634,28.29979,02674,120.46654044637393,False,11.743486859912798,True,2,11.743486859912798
31,v5_edge_magnitude,ok,8625,0.1044619083404541,data/raw/satloc/part_1/UAV Data/traj01/31@30028@112.816340@28.299790.png,112.81634,28.29979,02419,67.54577009078642,False,11.743486859912798,True,2,11.743486859912798
31,v8_lab_logchroma_fused,ok,8625,0.28235578536987305,data/raw/satloc/part_1/UAV Data/traj01/31@30028@112.816340@28.299790.png,112.81634,28.29979,02546,11.743486859912798,True,11.743486859912798,True,1,11.743486859912798
31,v9_canny_structure,ok,8625,0.10202193260192871,data/raw/satloc/part_1/UAV Data/traj01/31@30028@112.816340@28.299790.png,112.81634,28.29979,02419,67.54577009078642,False,11.743486859912798,True,6,11.743486859912798
36,v3_green_suppressed,ok,8625,0.15168499946594238,data/raw/satloc/part_1/UAV Data/traj01/36@35033@112.816364@28.300320.png,112.816364,28.30032,02422,51.909479338488076,False,5.3505473202788245,True,3,5.3505473202788245
36,v5_edge_magnitude,ok,8625,0.14126896858215332,data/raw/satloc/part_1/UAV Data/traj01/36@35033@112.816364@28.300320.png,112.816364,28.30032,02422,51.909479338488076,False,5.3505473202788245,True,2,5.3505473202788245
36,v8_lab_logchroma_fused,ok,8625,0.1255640983581543,data/raw/satloc/part_1/UAV Data/traj01/36@35033@112.816364@28.300320.png,112.816364,28.30032,02422,51.909479338488076,False,5.3505473202788245,True,4,5.3505473202788245
36,v9_canny_structure,ok,8625,0.12391114234924316,data/raw/satloc/part_1/UAV Data/traj01/36@35033@112.816364@28.300320.png,112.816364,28.30032,02422,51.909479338488076,False,5.3505473202788245,True,3,5.3505473202788245
40,v3_green_suppressed,ok,8625,0.11527180671691895,data/raw/satloc/part_1/UAV Data/traj01/40@39036@112.816366@28.300753.png,112.816366,28.300753,02297,61.07991040825948,False,12.433470076196253,True,9,12.433470076196253
40,v5_edge_magnitude,ok,8625,0.10429120063781738,data/raw/satloc/part_1/UAV Data/traj01/40@39036@112.816366@28.300753.png,112.816366,28.300753,02297,61.07991040825948,False,12.433470076196253,True,9,12.433470076196253
40,v8_lab_logchroma_fused,ok,8625,0.12105512619018555,data/raw/satloc/part_1/UAV Data/traj01/40@39036@112.816366@28.300753.png,112.816366,28.300753,05121,2746.7800821316087,False,12.433470076196253,True,10,12.433470076196253
40,v9_canny_structure,ok,8625,0.10605788230895996,data/raw/satloc/part_1/UAV Data/traj01/40@39036@112.816366@28.300753.png,112.816366,28.300753,02297,61.07991040825948,False,12.433470076196253,True,21,12.433470076196253
41,v3_green_suppressed,ok,8625,0.11641407012939453,data/raw/satloc/part_1/UAV Data/traj01/41@40037@112.816367@28.300861.png,112.816367,28.300861,00363,2396.503341036608,False,23.93413529514438,True,12,12.406561766823499
41,v5_edge_magnitude,ok,8625,0.10882091522216797,data/raw/satloc/part_1/UAV Data/traj01/41@40037@112.816367@28.300861.png,112.816367,28.300861,05123,2816.9439391025594,False,23.93413529514438,True,4,12.406561766823499
41,v8_lab_logchroma_fused,ok,8625,0.11170196533203125,data/raw/satloc/part_1/UAV Data/traj01/41@40037@112.816367@28.300861.png,112.816367,28.300861,05122,2783.587995996202,False,23.93413529514438,True,4,12.406561766823499
41,v9_canny_structure,ok,8625,0.11519598960876465,data/raw/satloc/part_1/UAV Data/traj01/41@40037@112.816367@28.300861.png,112.816367,28.300861,02297,70.57505276496806,False,23.93413529514438,True,14,12.406561766823499
46,v3_green_suppressed,ok,8625,0.1387629508972168,data/raw/satloc/part_1/UAV Data/traj01/46@45042@112.816366@28.301430.png,112.816366,28.30143,00955,1220.3391122683208,False,17.573676838494016,True,5,17.573676838494016
46,v5_edge_magnitude,ok,8625,0.11706209182739258,data/raw/satloc/part_1/UAV Data/traj01/46@45042@112.816366@28.301430.png,112.816366,28.30143,04110,2320.892496688245,False,17.573676838494016,True,29,17.573676838494016
46,v8_lab_logchroma_fused,ok,8625,0.11956119537353516,data/raw/satloc/part_1/UAV Data/traj01/46@45042@112.816366@28.301430.png,112.816366,28.30143,04089,1625.0615446305549,False,17.573676838494016,True,19,17.573676838494016
46,v9_canny_structure,ok,8625,0.10307979583740234,data/raw/satloc/part_1/UAV Data/traj01/46@45042@112.816366@28.301430.png,112.816366,28.30143,01975,1890.075979194709,False,17.573676838494016,True,24,17.573676838494016
50,v3_green_suppressed,ok,8625,0.11569690704345703,data/raw/satloc/part_1/UAV Data/traj01/50@49046@112.816363@28.301883.png,112.816363,28.301883,01239,2383.259702865441,False,32.750780158481554,True,25,5.751434003205323
50,v5_edge_magnitude,ok,8625,0.1074838638305664,data/raw/satloc/part_1/UAV Data/traj01/50@49046@112.816363@28.301883.png,112.816363,28.301883,04110,2334.9254212183573,False,32.750780158481554,True,38,5.751434003205323
50,v8_lab_logchroma_fused,ok,8625,0.11888313293457031,data/raw/satloc/part_1/UAV Data/traj01/50@49046@112.816363@28.301883.png,112.816363,28.301883,03985,2325.2802744102473,False,602.3826248936285,False,102,5.751434003205323
50,v9_canny_structure,ok,8625,0.10086703300476074,data/raw/satloc/part_1/UAV Data/traj01/50@49046@112.816363@28.301883.png,112.816363,28.301883,02362,2315.619941588161,False,179.71194579958694,False,72,5.751434003205323
51,v3_green_suppressed,ok,8625,0.11584782600402832,data/raw/satloc/part_1/UAV Data/traj01/51@50047@112.816362@28.301997.png,112.816362,28.301997,01083,1307.291436324554,False,31.341520653742542,True,42,11.38113958136881
51,v5_edge_magnitude,ok,8625,0.10401105880737305,data/raw/satloc/part_1/UAV Data/traj01/51@50047@112.816362@28.301997.png,112.816362,28.301997,04110,2338.637479625763,False,214.93886993474965,False,238,11.38113958136881
51,v8_lab_logchroma_fused,ok,8625,0.11904406547546387,data/raw/satloc/part_1/UAV Data/traj01/51@50047@112.816362@28.301997.png,112.816362,28.301997,02612,2323.309947476642,False,609.6315199018866,False,73,11.38113958136881
51,v9_canny_structure,ok,8625,0.1099698543548584,data/raw/satloc/part_1/UAV Data/traj01/51@50047@112.816362@28.301997.png,112.816362,28.301997,02362,2316.692450795537,False,180.07492362515453,False,123,11.38113958136881
56,v3_green_suppressed,ok,8625,0.11684703826904297,data/raw/satloc/part_1/UAV Data/traj01/56@55051@112.816354@28.302561.png,112.816354,28.302561,05095,1994.6034259683747,False,38.374052136590706,True,11,6.7212378615347745
56,v5_edge_magnitude,ok,8625,0.10373401641845703,data/raw/satloc/part_1/UAV Data/traj01/56@55051@112.816354@28.302561.png,112.816354,28.302561,01083,1301.666508881869,False,38.374052136590706,True,26,6.7212378615347745
56,v8_lab_logchroma_fused,ok,8625,0.16167402267456055,data/raw/satloc/part_1/UAV Data/traj01/56@55051@112.816354@28.302561.png,112.816354,28.302561,00958,1304.8592135950698,False,38.374052136590706,True,8,6.7212378615347745
56,v9_canny_structure,ok,8625,0.13764309883117676,data/raw/satloc/part_1/UAV Data/traj01/56@55051@112.816354@28.302561.png,112.816354,28.302561,02112,2316.9035357501702,False,29.038630676503416,True,27,6.7212378615347745
58,v3_green_suppressed,ok,8625,0.11658811569213867,data/raw/satloc/part_1/UAV Data/traj01/58@57053@112.816352@28.302780.png,112.816352,28.30278,05095,2007.2781549603965,False,39.62460037553323,True,12,9.810517283471562
58,v5_edge_magnitude,ok,8625,0.11474084854125977,data/raw/satloc/part_1/UAV Data/traj01/58@57053@112.816352@28.302780.png,112.816352,28.30278,00458,1322.1075726099841,False,747.5725112001765,False,373,9.810517283471562
58,v8_lab_logchroma_fused,ok,8625,0.15334105491638184,data/raw/satloc/part_1/UAV Data/traj01/58@57053@112.816352@28.302780.png,112.816352,28.30278,00958,1302.7271121944514,False,68.5429576945674,False,247,9.810517283471562
58,v9_canny_structure,ok,8625,0.14019513130187988,data/raw/satloc/part_1/UAV Data/traj01/58@57053@112.816352@28.302780.png,112.816352,28.30278,00458,1322.1075726099841,False,178.70473732923912,False,61,9.810517283471562
60,v3_green_suppressed,ok,8625,0.1486220359802246,data/raw/satloc/part_1/UAV Data/traj01/60@59055@112.816350@28.302998.png,112.81635,28.302998,04970,2001.9312138964376,False,44.55530867620633,False,185,17.847210672763627
60,v5_edge_magnitude,ok,8625,0.10683012008666992,data/raw/satloc/part_1/UAV Data/traj01/60@59055@112.816350@28.302998.png,112.81635,28.302998,00458,1317.8933945287363,False,44.55530867620633,False,626,17.847210672763627
